0 ,0.250379
-----------------------,L1D TOTAL ACCESS: 1262743 HIT: 932980 MISS: 329763
-----------------------,L2C TOTAL ACCESS: 421098 HIT: 192708 MISS: 228390
-----------------------,LLC TOTAL ACCESS: 320121 HIT: 282977 MISS: 37144
5 ,0.250056
-----------------------,L1D TOTAL ACCESS: 1262827 HIT: 933064 MISS: 329763
-----------------------,L2C TOTAL ACCESS: 421098 HIT: 192707 MISS: 228391
-----------------------,LLC TOTAL ACCESS: 320121 HIT: 282853 MISS: 37268
10 ,0.252093
-----------------------,L1D TOTAL ACCESS: 1262711 HIT: 932949 MISS: 329762
-----------------------,L2C TOTAL ACCESS: 421097 HIT: 192712 MISS: 228385
-----------------------,LLC TOTAL ACCESS: 320121 HIT: 283868 MISS: 36253
20 ,0.252613
-----------------------,L1D TOTAL ACCESS: 1262686 HIT: 932923 MISS: 329763
-----------------------,L2C TOTAL ACCESS: 421098 HIT: 192714 MISS: 228384
-----------------------,LLC TOTAL ACCESS: 320120 HIT: 284132 MISS: 35988
50 ,0.252622
-----------------------,L1D TOTAL ACCESS: 1262684 HIT: 932921 MISS: 329763
-----------------------,L2C TOTAL ACCESS: 421098 HIT: 192714 MISS: 228384
-----------------------,LLC TOTAL ACCESS: 320120 HIT: 284137 MISS: 35983
100 ,0.252622
-----------------------,L1D TOTAL ACCESS: 1262684 HIT: 932921 MISS: 329763
-----------------------,L2C TOTAL ACCESS: 421098 HIT: 192714 MISS: 228384
-----------------------,LLC TOTAL ACCESS: 320120 HIT: 284137 MISS: 35983




-----------------------------------------------------------------------


NO DECAY ,0.252622
-----------------------,L1D TOTAL ACCESS: 1262684 HIT: 932921 MISS: 329763
-----------------------,L2C TOTAL ACCESS: 421098 HIT: 192714 MISS: 228384
-----------------------,LLC TOTAL ACCESS: 320120 HIT: 284137 MISS: 35983
10000 ,0.252642
-----------------------,L1D TOTAL ACCESS: 1262684 HIT: 932921 MISS: 329763
-----------------------,L2C TOTAL ACCESS: 421098 HIT: 192714 MISS: 228384
-----------------------,LLC TOTAL ACCESS: 320120 HIT: 284146 MISS: 35974
50000 ,0.252626
-----------------------,L1D TOTAL ACCESS: 1262684 HIT: 932921 MISS: 329763
-----------------------,L2C TOTAL ACCESS: 421098 HIT: 192714 MISS: 228384
-----------------------,LLC TOTAL ACCESS: 320120 HIT: 284139 MISS: 35981
20000 ,0.252626
-----------------------,L1D TOTAL ACCESS: 1262684 HIT: 932921 MISS: 329763
-----------------------,L2C TOTAL ACCESS: 421098 HIT: 192714 MISS: 228384
-----------------------,LLC TOTAL ACCESS: 320120 HIT: 284139 MISS: 35981
15000 ,0.252649
-----------------------,L1D TOTAL ACCESS: 1262684 HIT: 932921 MISS: 329763
-----------------------,L2C TOTAL ACCESS: 421098 HIT: 192714 MISS: 228384
-----------------------,LLC TOTAL ACCESS: 320120 HIT: 284147 MISS: 35973
17500 ,0.252634
-----------------------,L1D TOTAL ACCESS: 1262684 HIT: 932921 MISS: 329763
-----------------------,L2C TOTAL ACCESS: 421098 HIT: 192714 MISS: 228384
-----------------------,LLC TOTAL ACCESS: 320120 HIT: 284142 MISS: 35978
16000 ,0.252626
-----------------------,L1D TOTAL ACCESS: 1262684 HIT: 932921 MISS: 329763
-----------------------,L2C TOTAL ACCESS: 421098 HIT: 192714 MISS: 228384
-----------------------,LLC TOTAL ACCESS: 320120 HIT: 284139 MISS: 35981
